[2, 1]	0	0	(2, 2)	False
(2, 2)	3	0	(1, 2)	False
(1, 2)	0	0	(1, 3)	False
(1, 3)	1	0	(2, 3)	False
(2, 3)	0	0	(2, 4)	False
(2, 4)	0	0	(2, 5)	False
(2, 5)	3	0	(1, 5)	False
(1, 5)	0	0	(1, 6)	False
(1, 6)	1	0	(2, 6)	False
(2, 6)	0	0	(2, 7)	False
(2, 7)	1	0	(3, 7)	False
(3, 7)	2	0	(3, 6)	False
(3, 6)	1	0	(4, 6)	False
(4, 6)	1	0	(5, 6)	False
(5, 6)	0	0	(5, 7)	False
(5, 7)	1	0	(6, 7)	False
(6, 7)	2	0	(6, 6)	False
(6, 6)	1	0	(7, 6)	False
(7, 6)	2	0	(7, 5)	False
(7, 5)	2	0	(7, 4)	False
(7, 4)	0	0	(7, 5)	False
(7, 5)	0	0	(7, 6)	False
(7, 6)	3	0	(6, 6)	False
(6, 6)	0	0	(6, 7)	False
(6, 7)	3	0	(5, 7)	False
(5, 7)	2	0	(5, 6)	False
(5, 6)	3	0	(4, 6)	False
(4, 6)	2	0	(4, 5)	False
(4, 5)	2	1	(4, 4)	True
